,cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
14,2012-12-20-ab-invivo-1,738.71,9.280347979087807,0.0239941118906323,0.0012066470927458,46.57993094588944,0.001345591696621,2.8985411698159082e-05,0.0011385589203656,5e-05,0.0480050250939148,1,0,-4.78515625,0
15,2012-12-20-ac-invivo-1,744.95,7.430387927489267,0.0345947908745731,0.0025268601414655,43.13386881776496,0.0015547575080636,2.5201073241309866e-05,0.0008625278566343,5e-05,0.0697455808204499,1,0,-5.6640625,0
16,2012-12-20-ad-invivo-1,759.82,23.049443800356883,0.0750537749678186,0.0045390033895884,124.17804604983468,0.001064631925566,5.6376094763042706e-05,0.0010943556029644,5e-05,0.0931679653142917,1,0,-16.2109375,0
17,2012-12-20-ae-invivo-1,763.79,28.80721245217218,0.0698601314329484,0.0053715638461618,190.0928565977152,0.0016453158616621,7.131900555392491e-05,0.0009171798026672,5e-05,0.0611504542659933,1,0,-31.8359375,0
18,2012-12-21-ai-invivo-1,787.12,36.7842414315693,0.1276318469527911,0.003148853518619,291.18540792514136,0.0020959669717419,0.0005516021341412408,0.0012049087410326,5e-05,0.1274364412424319,1,0,-54.6875,0
19,2012-12-21-ak-invivo-1,796.83,1.7017134980024364,0.0107676608954073,0.0014891509741628,17.982140250050847,0.0015468480651836,7.212072105475155e-05,0.0011152141595196,5e-05,0.0872019091417939,1,0,-3.22265625,0
20,2012-12-21-am-invivo-1,806.15,4.716159805342061,0.0366776497932095,0.0049998563824837,85.64267738935817,0.0024101257355043,6.0793639311984955e-05,0.0011255575558147,5e-05,0.0544681581478567,1,0,-21.484375,0
21,2012-12-21-an-invivo-1,812.7,5.582036062660869,0.0274227877592669,0.0021553825904866,47.67902220120489,0.0013301530347246,7.299532589864554e-05,0.0012649531095061,5e-05,0.0844907244000913,1,0,-8.984375,0
22,2013-01-08-aa-invivo-1,800.63,1.1104651443148157,0.0086025843138997,0.0011824418111601,4.462416862986384,0.0011980061424283,1.3402510884404094e-06,0.0003831341515515,5e-05,0.0375245582825626,1,0,0.5859375,0
23,2014-06-06-ac-invivo-1,800.02,55.08594100237285,0.1519649495271567,0.0023988269653892,382.9362788343988,0.0049762867320738,0.004004721222455781,0.00061712749485,5e-05,0.1119510050767536,1,0,-70.703125,0
24,2014-06-06-ag-invivo-1,800.12,31.66707022561787,0.2557302246794765,0.006208253008106,350.33971367925733,0.0027828062970542,0.005419430958183575,0.0011980490757128,5e-05,0.1125024266724631,1,0,-81.25,0
25,2014-12-03-ai-invivo-1,858.5,31.486601023741528,0.2910677134182297,0.0213624955015925,537.3333472412701,0.0034013650498773,0.0007413675790491186,0.0008191902158733,5e-05,0.1937871715568695,1,0,-139.0625,0
26,2014-12-11-aa-invivo-1,651.29,110.31713694365598,1.522266574846523,0.0227436979863408,499.4468540444777,0.0010908984221126,0.000826539457365209,0.0010262164681389,5e-05,0.8644462875159566,1,0,-50.0,0
27,2014-12-11-ad-invivo-1,650.07,8.858446542191944,0.1769308951576087,0.0034407397494916,81.4459768691674,0.0056094441582848,0.00030405246476184703,0.0009215234011342,5e-05,0.3609179195014541,1,0,-16.40625,0
28,2015-01-15-ab-invivo-1,708.7,29.079679157252954,0.2337139842832452,0.0027630060027207,144.15528554521688,0.0039045887899447,0.004264028976842026,0.0005758880667202,5e-05,0.0840743542566496,1,0,-18.75,0
29,2015-01-20-ac-invivo-1,749.16,8.001503570988135,0.0931857528999433,0.0071105073351134,57.637181305666346,0.003112217193646,9.441371117738886e-05,0.0005985361977974,5e-05,0.3642277333930833,1,0,-9.5703125,0
30,2015-01-20-ae-invivo-1,775.45,20.985342649544325,0.2413286124255497,0.0129190289618216,944.1126644859896,0.0021193505389306,0.0015655925442817822,0.0012881064318266,5e-05,0.2283240154087572,1,0,-280.46875,0
31,2015-01-20-af-invivo-1,778.15,9.088845198675005,0.1221611050309276,0.0030393173302233,122.26700325769885,0.0025711422027881,0.0025657999527073914,0.0012176143643482,5e-05,0.0348591022930843,1,0,-31.25,0
32,2018-01-10-al,822.43,26.852490056000995,0.1993953919884298,0.0017458564371883,66.70148566718731,0.0014616352764523,0.0008768697373108707,0.0012151254594324,5e-05,0.1340861591329578,1,0,5.46875,0
33,2018-05-08-aa-invivo-1,643.65,23.90042739559335,0.1798294135622658,0.0014978457325112,196.79744698301027,0.0089985815116623,0.01865749947276823,0.0012206757789855,5e-05,0.0834244388001465,1,0,-38.28125,0
34,2018-05-08-ab-invivo-1,646.62,21.14334023928029,0.1791831401134067,0.0021110702241677,74.44012660456099,0.0021041118380944,0.0004955183093439799,0.0008417932875559,5e-05,0.1649339650514045,1,0,-3.125,0
35,2018-05-08-ac-invivo-1,655.16,5.7344822372910205,0.0536487866361306,0.0012215288834369,23.53137733496618,0.0019583210219127,0.00017385679473280432,0.0009188584913498,5e-05,0.1416692216230782,1,0,-1.5625,0
36,2018-05-08-ad-invivo-1,655.66,10.56270995846859,0.0450137669359761,0.0013544139474406,32.871669695970056,0.0011290166943145,9.029073720834468e-05,0.0007800007176441,5e-05,0.083006053467486,1,0,-0.09765625,0
37,2018-05-08-ae-invivo-1,649.48,23.236002441272877,0.1649467891961967,0.0039292156627142,139.62843570490134,0.0014895499625897,0.00021436705673668745,0.0013078805846238,5e-05,0.1236854639152384,1,0,-21.09375,0
38,2018-05-08-af-invivo-1,649.93,50.67440031212505,0.1594254584697739,0.0088708778370809,266.86501353697287,0.0011885343507996,0.00016768487713986462,0.0011045939825865,5e-05,0.0619649028437271,1,0,-35.15625,0
39,2018-05-08-ai-invivo-1,653.62,17.97588058957365,0.122233686236529,0.0022403560787985,58.600496136896105,0.0011393995473654,0.00020709842195922596,0.0014268613608903,5e-05,0.0723557500363594,1,0,-1.5625,0
40,2018-06-25-ad-invivo-1,840.79,62.49268603283534,0.2394747446372235,0.0018839278762954,286.0953844311519,0.0023896710179589,0.002437260138073235,0.0010856424997856,5e-05,0.09634714314913,1,0,-29.6875,0
41,2018-06-26-ah-invivo-1,778.22,9.308930279015678,0.0509027516704495,0.0014501642110434,32.28227188413107,0.0013032229469945,0.00018345932362538524,0.0007002061078699,5e-05,0.0899122501049571,1,0,-0.1953125,0
